id;name
3d;3D
abstract_art;Abstract Art
acrylic_painting;Acrylic Painting
african_art;African Art
art_deco;Art Deco
art_nouveau;Art Nouveau
ballpoint_pen_art;Ballpoint Pen Art
benin_art;Benin Art
benin_bronze;Benin Bronze
byzantine_art;Byzantine Art
charcoal_drawing;Charcoal Drawing
chiaroscuro;Chiaroscuro
chinese_art;Chinese Art
collage_painting;Collage Painting
color_pencil_sketch;Color Pencil Sketch
contemporary_art;Contemporary Art
crayon_drawing;Crayon Drawing
cubist_art;Cubist Art
cyberpunk;Cyberpunk
digital_art;Digital Art
expressionism;Expressionism
fresco;Fresco
futurism;Futurism
gestural_abstraction;Gestural Abstraction
gond_painting;Gond Painting
gouache_painting;Gouache Painting
greek_art;Greek Art
grisaille;Grisaille
impasto;Impasto
ink_painting;Ink Painting
islamic_art;Islamic Art
isometric_3d;Isometric 3d
kalamkari_painting;Kalamkari Painting
macro_35_millimeters_photo;Macro 35 Millimeters Photo
medieval_art;Medieval Art
miniature_painting;Miniature Painting
minimalist_art;Minimalist Art
neoclassicism;Neoclassicism
neon_art;Neon Art
oil_painting;Oil Painting
one_line_drawing;One Line Drawing
op_art;Op Art
pencil_sketch;Pencil Sketch
photo;Photo
photorealism;Photorealism
pixel_art;Pixel Art
pop_art;Pop Art
portrait_painting;Portrait Painting
pre-columbian_art;Pre-Columbian Art
realistic_art;Realistic Art
renaissance_art;Renaissance Art
romanesque_art;Romanesque Art
sand_painting;Sand Painting
sculpture;Sculpture
sfumato;Sfumato
skeuomorphism;Skeuomorphism
spray_painting;Spray Painting
stained_glass_window;Stained Glass Window
still_life;Still Life
street_art;Street Art
surreal_art;Surreal Art
surrealism;Surrealism
tanjore_painting;Tanjore Painting
trompe_l_oeil;Trompe L’Oeil
ukiyo-e;Ukiyo-E
vaporwave;Vaporwave
warli_painting;Warli Painting
watercolor_art;Watercolor Art
